Year,Race_Ethnicity,n,Prop
2019,Black,1258,0.32422680412371135
2019,Hispanic/Latino,958,0.24690721649484537
2019,White,1247,0.3213917525773196
2020,Black,934,0.2832878374279648
2020,Hispanic/Latino,944,0.28632089778586595
2020,White,937,0.28419775553533516
2021,Black,880,0.2458787370773959
2021,Hispanic/Latino,1031,0.2880692930986309
2021,White,1132,0.3162894663313775
2022,Black,1230,0.2541847489150651
2022,Hispanic/Latino,1326,0.2740235585864848
2022,White,1483,0.30646827856995246
2023,Black,2220,0.2669873722188815
2023,Hispanic/Latino,2621,0.315213469633193
2023,White,2159,0.25965123271196633
2024,Black,2060,0.2603311007203336
2024,Hispanic/Latino,2303,0.29104006065967397
2024,White,1870,0.23631997978010869
