Gender,count,prop,Year,Percent,
No Single Gender,28,0.001881847,2019,0.19,19
Other,11,7.392969957658445e-4,2019,0.07,7
No Single Gender,26,0.001832405,2020,0.18,18
Other,13,9.162026922263725e-4,2020,0.09,9
No Single Gender,29,0.002059074,2021,0.21,21
Questioning,3,2.1300766827605795e-4,2021,0.02,2
Other,20,0.001420051,2021,0.14,14
No Single Gender,35,0.002081722,2022,0.21,21
Questioning,4,2.3791114018913937e-4,2022,0.02,2
Other,44,0.002617023,2022,0.26,26
Culterally Specific,3,1.2187195320116997e-4,2023,0.01,1
No Single Gender,62,0.002518687,2023,0.25,25
Questioning,6,2.4374390640233994e-4,2023,0.02,2
Other,64,0.002599935,2023,0.26,26
Culterally Specific,10,3.6003600360036e-4,2024,0.04,4
No Single Gender,72,0.002592259,2024,0.26,26
Questioning,9,3.2403240324032403e-4,2024,0.03,3
Other,89,0.00320432,2024,0.32,32
