Household Type,count,Year,prop,total
Families: Youth Only,19,2019,0.00314257360238174,6046
Single Youth,198,2019,0.032748924909030766,6046
Families: Adult(s) & Child(ren),825,2019,0.13645385378762817,6046
Single Adults,5004,2019,0.8276546477009593,6046
Families: Youth Only,45,2020,0.00892325996430696,5043
Single Youth,210,2020,0.04164187983343248,5043
Families: Adult(s) & Child(ren),795,2020,0.15764425936942297,5043
Single Adults,3993,2020,0.7917906008328376,5043
Families: Youth Only,58,2021,0.011117500479202607,5217
Single Youth,298,2021,0.057120950737972014,5217
Families: Adult(s) & Child(ren),695,2021,0.1332183247076864,5217
Single Adults,4166,2021,0.798543224075139,5217
Families: Youth Only,95,2022,0.01410332541567696,6736
Single Youth,465,2022,0.06903206650831353,6736
Families: Adult(s) & Child(ren),807,2022,0.11980403800475059,6736
Single Adults,5369,2022,0.7970605700712589,6736
Families: Youth Only,188,2023,0.01638915526109319,11471
Single Youth,916,2023,0.07985354371894342,11471
Families: Adult(s) & Child(ren),1044,2023,0.09101211751373027,11471
Single Adults,9323,2023,0.8127451835062331,11471
Families: Youth Only,251,2024,0.02167717419466275,11579
Single Youth,1062,2024,0.09171776491925036,11579
Families: Adult(s) & Child(ren),1113,2024,0.09612229035322567,11579
Single Adults,9153,2024,0.7904827705328612,11579
