Year,Race_Ethnicity,n,Prop
2019,Black,261,0.41037735849056606
2019,Hispanic/Latino,115,0.18081761006289307
2019,White,198,0.3113207547169811
2020,Black,301,0.3898963730569948
2020,Hispanic/Latino,164,0.21243523316062177
2020,White,229,0.2966321243523316
2021,Black,299,0.38481338481338484
2021,Hispanic/Latino,167,0.21492921492921493
2021,White,232,0.2985842985842986
2022,Black,301,0.3955321944809461
2022,Hispanic/Latino,175,0.22996057818659657
2022,White,219,0.28777923784494086
2023,Black,421,0.3576890399320306
2023,Hispanic/Latino,309,0.2625318606627018
2023,White,343,0.29141886151231944
2024,Black,379,0.3915289256198347
2024,Hispanic/Latino,228,0.23553719008264462
2024,White,271,0.2799586776859504
