PH,Total,Year,name,value,
PH Program,"1,402",2019,Any Disabling Condition,0.7296718972895863,72.96718973
PH Program,"1,652",2020,Any Disabling Condition,0.7554479418886199,75.54479419
PH Program,"2,176",2021,Any Disabling Condition,0.7780330882352942,77.80330882
PH Program,"2,149",2022,Any Disabling Condition,0.7924616100511866,79.24616101
PH Program,"2,231",2023,Any Disabling Condition,0.7642312864186463,76.42312864
PH Program,"2,301",2024,Any Disabling Condition,0.7531508039982616,75.3150804
Non-PH Program,"9,493",2019,Any Disabling Condition,0.68155483,68.15548299
Non-PH Program,"8,312",2020,Any Disabling Condition,0.6645813282001924,66.45813282
Non-PH Program,"7,232",2021,Any Disabling Condition,0.6789269911504425,67.89269912
Non-PH Program,"9,594",2022,Any Disabling Condition,0.6635397123202001,66.35397123
Non-PH Program,"16,265",2023,Any Disabling Condition,0.5752228711958193,57.52228712
Non-PH Program,"19,003",2024,Any Disabling Condition,0.5800136820502027,58.00136821
PH Program,"1,402",2019,Chronic Health,0.359486448,35.94864479
PH Program,"1,652",2020,Chronic Health,0.3916464891041162,39.16464891
PH Program,"2,176",2021,Chronic Health,0.39200367647058826,39.20036765
PH Program,"2,149",2022,Chronic Health,0.40809678920428105,40.80967892
PH Program,"2,231",2023,Chronic Health,0.39578664276109365,39.57866428
PH Program,"2,301",2024,Chronic Health,0.39678400695349847,39.6784007
Non-PH Program,"9,493",2019,Chronic Health,0.339407985,33.94079848
Non-PH Program,"8,312",2020,Chronic Health,0.33313282001924927,33.313282
Non-PH Program,"7,232",2021,Chronic Health,0.3444413716814159,34.44413717
Non-PH Program,"9,594",2022,Chronic Health,0.3346883468834688,33.46883469
Non-PH Program,"16,265",2023,Chronic Health,0.28164770980633264,28.16477098
Non-PH Program,"19,003",2024,Chronic Health,0.2782718518128717,27.82718518
PH Program,"1,402",2019,Developmental,0.11483594864479316,11.48359486
PH Program,"1,652",2020,Developmental,0.1410411622276029,14.10411622
PH Program,"2,176",2021,Developmental,0.15946691176470587,15.94669118
PH Program,"2,149",2022,Developmental,0.16007445323406236,16.00744532
PH Program,"2,231",2023,Developmental,0.17525773195876287,17.5257732
PH Program,"2,301",2024,Developmental,0.1681877444589309,16.81877445
Non-PH Program,"9,493",2019,Developmental,0.155377647,15.53776467
Non-PH Program,"8,312",2020,Developmental,0.15892685274302212,15.89268527
Non-PH Program,"7,232",2021,Developmental,0.1854258849557522,18.5425885
Non-PH Program,"9,594",2022,Developmental,0.18449030644152595,18.44903064
Non-PH Program,"16,265",2023,Developmental,0.16052874269904704,16.05287427
Non-PH Program,"19,003",2024,Developmental,0.1633426301110351,16.33426301
PH Program,"1,402",2019,HIV/AIDS,0.069900143,6.990014265
PH Program,"1,652",2020,HIV/AIDS,0.06779661,6.779661017
PH Program,"2,176",2021,HIV/AIDS,0.044577206,4.457720588
PH Program,"2,149",2022,HIV/AIDS,0.047929269,4.792926943
PH Program,"2,231",2023,HIV/AIDS,0.043030031376064544,4.303003138
PH Program,"2,301",2024,HIV/AIDS,0.036940461,3.694046067
Non-PH Program,"9,493",2019,HIV/AIDS,0.032655641,3.2655641
Non-PH Program,"8,312",2020,HIV/AIDS,0.030558229,3.055822907
Non-PH Program,"7,232",2021,HIV/AIDS,0.03125,3.125
