Year,Race_Ethnicity,n,Prop,
2019,American Indian,93,0.006191744,0.619174434
2019,Asian,132,0.008788282,0.878828229
2019,Black,5454,0.36311584553928095,36.31158455
2019,Hispanic/Latino,3715,0.24733688415446073,24.73368842
2019,Middle Eastern / North African,1,6.657789613848202e-5,0.00665779
2019,Pacific Islander,30,0.001997337,0.199733688
2019,White,4166,0.2773635153129161,27.73635153
2019,Two or more races,1011,0.067310253,6.7310253
2019,Data not collected,418,0.027829560585885486,2.782956059
2020,American Indian,85,0.005872193,0.587219344
2020,Asian,152,0.010500863557858377,1.050086356
2020,Black,4922,0.34003454231433505,34.00345423
2020,Hispanic/Latino,4025,0.27806563039723664,27.80656304
2020,Pacific Islander,16,0.001105354,0.110535406
2020,White,3786,0.26155440414507775,26.15544041
2020,Two or more races,932,0.064386874,6.438687392
2020,Data not collected,557,0.038480138,3.848013817
2021,American Indian,86,0.005986357,0.598635668
2021,Asian,171,0.011903104552415425,1.190310455
2021,Black,4622,0.32173186690797717,32.17318669
2021,Hispanic/Latino,4011,0.27920089099262146,27.9200891
2021,Middle Eastern / North African,1,6.960879855213699e-5,0.00696088
2021,Pacific Islander,18,0.001252958,0.125295837
2021,White,3891,0.270847835,27.08478352
2021,Two or more races,977,0.068007796,6.800779619
2021,Data not collected,589,0.040999582347208685,4.099958235
2022,American Indian,95,0.005510441,0.551044084
2022,Asian,183,0.010614849187935035,1.061484919
2022,Black,5496,0.3187935034802784,31.87935035
2022,Hispanic/Latino,4819,0.2795243619489559,27.95243619
2022,Middle Eastern / North African,6,3.4802784222737816e-4,0.034802784
2022,Pacific Islander,33,0.001914153,0.191415313
2022,White,4697,0.2724477958236659,27.24477958
2022,Two or more races,1073,0.062238979118329464,6.223897912
2022,Data not collected,838,0.048607889,4.860788863
2023,American Indian,145,0.005785652,0.578565158
2023,Asian,294,0.011730907349772564,1.173090735
2023,Black,8042,0.32088420716622773,32.08842072
2023,Hispanic/Latino,7276,0.2903200063841673,29.03200064
2023,Middle Eastern / North African,41,0.001635943,0.163594286
2023,Pacific Islander,54,0.002154656,0.215465645
2023,White,6558,0.2616710557816615,26.16710558
2023,Two or more races,1258,0.050195515,5.019551512
2023,Data not collected,1394,0.055622057297901206,5.56220573
2024,American Indian,168,0.005926344,0.592634401
2024,Asian,168,0.005926344,0.592634401
2024,Black,9222,0.32531395512910966,32.53139551
2024,Hispanic/Latino,8165,0.2880273740651898,28.80273741
2024,Middle Eastern / North African,89,0.003139551,0.313955129
2024,Pacific Islander,68,0.002398758,0.239875829
2024,White,7195,0.25380979257795966,25.38097926
2024,Two or more races,1294,0.045646959221109076,4.564695922
2024,Data not collected,1979,0.069810921,6.981092141
