Population,isSubpop,count,prop,Year,
Domestic Violence Survivors,TRUE,4787,0.3282814428747771,2019,32.82814429
Chronically Homeless,TRUE,3941,0.26238348868175765,2019,26.23834887
Veterans,TRUE,1628,0.11176712893038583,2019,11.17671289
Unaccompanied Youth,TRUE,1180,0.10851572558396175,2019,10.85157256
Domestic Violence Survivors,TRUE,4774,0.3480352846832398,2020,34.80352847
Chronically Homeless,TRUE,4057,0.2802763385146805,2020,28.02763385
Veterans,TRUE,1519,0.11091639284410369,2020,11.09163928
Unaccompanied Youth,TRUE,1120,0.11257412805307065,2020,11.25741281
Domestic Violence Survivors,TRUE,4704,0.36062557497700093,2021,36.0625575
Chronically Homeless,TRUE,4274,0.2975080050118335,2021,29.7508005
Veterans,TRUE,1515,0.11178336899579429,2021,11.1783369
Unaccompanied Youth,TRUE,1168,0.12482633322646147,2021,12.48263332
Domestic Violence Survivors,TRUE,5658,0.3578974002150674,2022,35.78974002
Chronically Homeless,TRUE,5341,0.3098027842227378,2022,30.98027842
Veterans,TRUE,1714,0.10601187530925285,2022,10.60118753
Unaccompanied Youth,TRUE,1212,0.10323679727427598,2022,10.32367973
Chronically Homeless,TRUE,7478,0.298380018,2023,29.83800176
Domestic Violence Survivors,TRUE,7176,0.30635245901639346,2023,30.6352459
Veterans,TRUE,1985,0.083242473,2023,8.324247253
Unaccompanied Youth,TRUE,1862,0.10070308274743105,2023,10.07030827
Chronically Homeless,TRUE,8819,0.3110977846761676,2024,31.10977847
Domestic Violence Survivors,TRUE,8380,0.3107386532186295,2024,31.07386532
Unaccompanied Youth,TRUE,2122,0.09961506,2024,9.961505962
Veterans,TRUE,2118,0.078642507,2024,7.864250705
