Year,ProjectTypeLabel,Count
2019,Minimal Housing Assistance,903
2019,Permanent Supportive Housing,132
2019,Rapid Re-Housing,504
2020,Minimal Housing Assistance,956
2020,Permanent Supportive Housing,147
2020,Rapid Re-Housing,625
2021,Minimal Housing Assistance,787
2021,Permanent Supportive Housing,144
2021,Rapid Re-Housing,633
2022,Minimal Housing Assistance,1010
2022,Permanent Supportive Housing,202
2022,Rapid Re-Housing,559
2023,Minimal Housing Assistance,1492
2023,Permanent Supportive Housing,212
2023,Rapid Re-Housing,965
2024,Minimal Housing Assistance,2087
2024,Permanent Supportive Housing,296
2024,Rapid Re-Housing,672
