year,program,people
2019,Minimal Housing Assistance,707
2019,Permanent Supportive Housing,173
2019,Rapid Re-Housing,892
2020,Minimal Housing Assistance,789
2020,Permanent Supportive Housing,217
2020,Rapid Re-Housing,999
2021,Minimal Housing Assistance,638
2021,Permanent Supportive Housing,177
2021,Rapid Re-Housing,970
2022,Minimal Housing Assistance,859
2022,Permanent Supportive Housing,233
2022,Rapid Re-Housing,906
2023,Minimal Housing Assistance,1295
2023,Permanent Supportive Housing,262
2023,Rapid Re-Housing,1501
