Name,Service Provider/Owner,Target Pop,Year Operational,Units,PSH Units,Address,Zip Code,Coordinates
Terrace at Oak Spring,Integral Care,Chronic Single hh and 25 vets,2019,50,50,3000 Oak Springs,78721,"30.2840937552881, -97.69832002048227"
Elysium Grand,VA,Vets,2020,90,25,3300 Oak Creek Drive,78727,"30.42809684363772, -97.70557950494917"
Chalmers East,VA,Vets,2020,,8,1700 E 3rd ,78702,"30.26017772592223, -97.72538488592512"
Capital Studios,Foundation Communities,Chronic Single hh,2021,135,20,309 E 11th St,78701,"30.27217867219238, -97.73809026262612"
Waterloo Terrace,Foundation Communities,Chronic Single hh,2021,132,15,12190 N Mopac,78758,"30.414770672844995, -97.70907249330047"
Skyline Terrace,Foundation Communities,Chronic Single hh,Existing,100,10,1212 W Ben White Blvd,78704,"30.228780938755992, -97.77796517427718"
Chalmers West,HACA,Chronic Vet,2024,,8,1700 E 3rd ,78702,"30.260066521990172, -97.7255994626266"
Espero at Rutland,Caritas,Chronic and 25 Vets,2024,171,101,1934 Rutland Dr,78757,"30.379430944995164, -97.71223063194084"
Bungalows at Century Park (hotel conversion),Integral Care,Chronic ,2024,60,60,13311 Burnet Rd,78727,"30.43379556556963, -97.69865266631011"
Balcones Terrace (hotel conversation),Foundation Communities,Chronic and 25 Vets,2024,123,50,10024 N Capital of TX,78759,"30.391721675268, -97.7373901086418"
Pecan Gardens (hotel conversion),Family Eldercare,Chronic  - 55+,2024,78,78,10811 Pecan Park Blvd,78750,"30.463452268732773, -97.80360767611255"
Libertad Austin,Caritas,Chronic and 25 Vets,2024,198,50,900 Gardner,78721,"30.254807898762287, -97.68663609775761"
Kensington Apartments,Integral Care,25 Vets and 30 Chronic,2024,142,55,3300 Manor Rd,78723,"30.288029031357638, -97.7025899779657"
Burleson Village ,Foundation Communities,Chronic and 20 Vets,2025,100,50,7905 Burleson Rd,78744,"30.187843598832416, -97.69425354728939"
Cady Lofts,Endeavors,Chronic , 2025,100,100,1004 E. 39th,78751,"30.296415509922145, -97.72025236077948"
Cairn Point at Cameron (Travis County ARPA),Caritas/Vecino Group/AHFC,Chronic and 25 Vets,2025,150,100,7205 Cameron Rd,78752,"30.326756820947924, -97.69061649745409"
The Sasha,SAFE,DV,2025,60,30,1515 Grove,78741,"30.231275868770172, -97.70569784359651"
The Rhett,"AHFC, Saigebrook",Vets,2025,215,8,1000 E Yager Lane,78753,"30.392817146040805, -97.66071898009474"
The Works III (Travis County ARPA),Lifeworks,18-24,2025,120,50,701 Tillery St,78702,"30.2613081994846, -97.70434284375233"
Lancaster (Travis County ARPA),SAFE,DV,2025,60,30,5111 Lancaster,78723,"30.308616465776275, -97.7056808012633"
Real Gardens (Travis County ARPA),Family Eldercare,Chronic - 62+ and People with Disabilities,2025,60,60,2826 Real St,78722,"30.283437123823628, -97.71068328961516"
Seabrook Square (travis county ARPA),Integral Care,Chronic ,2026,60,60,2212 Pershing Drive,78723,"30.288423972707257, -97.69883132029554"
The Roz,Endeavors,Chronic and Vets,2026,100,100,3435 Parker Lane,78741,"30.218934491581887, -97.74293655893734"
Urban Empowerment Zone 1 (Travis County ARPA),AAUL,Chronic and Vets,2026,80,80,Colony Park Area,,
Cairn Point Montopolis,Family Eldercare/Vecino,55+,2027,150,65,1013 Montopolis Dr,,"30.23374884963288, -97.69775941660686"
Bailey at Berkman,Hope for Housing/National Core,Chronic and Vets,2027,104,26,,,
Bailey at Stassney,Hope for Housing/National Core,Chronic and Vets,2027,104,26,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
